Id,Genre,GiaDinh,GiaThong,HocDuong,TichCuc,TieuCuc,TrungTinh
Dataset\GiaDinh_Tichcuc\gd_tic_0026.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0027.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0028.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0029.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0030.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0031.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0032.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0033.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0034.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0035.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0036.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0037.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0038.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0039.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0040.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0041.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0042.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0043.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0044.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0045.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0046.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0047.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0048.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0049.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0050.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0051.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0052.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0053.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0054.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0055.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0056.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0057.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0058.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0059.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0060.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0061.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0062.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0063.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0064.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0065.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0066.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0067.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0068.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0069.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0070.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0071.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0072.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0073.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0074.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0075.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0076.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0077.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0078.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0079.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0080.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0081.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0082.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0083.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0084.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0085.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0086.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0087.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0088.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0089.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0090.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0091.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0092.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0093.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0094.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0095.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0096.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0097.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0098.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0099.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0100.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0101.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0102.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0103.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0104.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0105.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0106.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0107.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0108.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0109.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0110.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0111.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0112.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0113.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0114.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0115.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0116.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0117.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0118.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0119.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0120.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0121.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0122.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0123.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0124.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0125.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0126.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0127.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0128.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0129.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0130.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0131.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0132.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0133.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0134.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0135.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0136.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0137.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0138.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0139.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0140.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0141.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0142.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0143.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0144.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0145.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0146.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0147.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0148.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0149.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0150.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0151.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0152.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0153.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0154.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0155.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0156.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0157.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0158.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0159.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0160.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0161.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0162.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0163.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0164.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0165.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0166.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0167.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0168.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0169.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0170.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0171.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0172.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0173.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0174.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0175.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0176.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0177.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0178.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0179.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0180.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0181.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0182.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0183.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0184.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0185.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0186.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0187.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0188.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0189.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0190.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0191.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0192.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0193.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0194.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0195.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0196.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0197.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0198.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0199.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0200.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0201.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0202.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0203.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0204.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0205.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0206.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0207.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0208.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0209.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0210.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

Dataset\GiaDinh_Tichcuc\gd_tic_0211.jpg,"[['GiaDinh', 'Tichcuc']]",1,0,0,1,0,0

